YearMonth,PracticeCode,NumberOfPatients
202309,A81001,3955
202309,A81002,18415
202309,A81004,11273
202309,A81005,7986
202309,A81006,14381
202309,A81007,9969
202309,A81009,8480
202309,A81011,11599
202309,A81012,5314
202309,A81013,7256
202309,A81014,4113
202309,A81016,11731
202309,A81017,18759
202309,A81018,10221
202309,A81019,8863
202309,A81020,7819
202309,A81021,22726
202309,A81022,9536
202309,A81023,9095
202309,A81025,4309
202309,A81026,20585
202309,A81027,15065
202309,A81029,7400
202309,A81030,15644
202309,A81031,13385
202309,A81032,11343
202309,A81034,21164
202309,A81035,10141
202309,A81036,16943
202309,A81037,7024
202309,A81038,3893
202309,A81039,11733
202309,A81040,8530
202309,A81041,9423
202309,A81042,14856
202309,A81044,18908
202309,A81045,6051
202309,A81046,12161
202309,A81048,7040
202309,A81049,6512
202309,A81051,7245
202309,A81052,9935
202309,A81053,5977
202309,A81054,8620
202309,A81056,2476
202309,A81057,9439
202309,A81058,9376
202309,A81060,6073
202309,A81063,5458
202309,A81064,8575
202309,A81065,3818
202309,A81066,5189
202309,A81067,11532
202309,A81070,6419
202309,A81602,2286
202309,A81608,9318
202309,A81610,7984
202309,A81611,8426
202309,A81612,3839
202309,A81618,10178
202309,A81621,2671
202309,A81622,5845
202309,A81629,6315
202309,A81630,499
202309,A81631,7308
202309,A81633,2
202309,A81634,2984
202309,A82003,11739
202309,A82004,2234
202309,A82005,5965
202309,A82006,5026
202309,A82007,11140
202309,A82008,11961
202309,A82009,9414
202309,A82010,6796
202309,A82012,16935
202309,A82013,6687
202309,A82014,4361
202309,A82015,5659
202309,A82016,38055
202309,A82018,13258
202309,A82019,7961
202309,A82020,16343
202309,A82021,18106
202309,A82022,5118
202309,A82023,5858
202309,A82024,5909
202309,A82025,11221
202309,A82026,17540
202309,A82027,9937
202309,A82028,8354
202309,A82029,3529
202309,A82030,6559
202309,A82031,3230
202309,A82032,13703
202309,A82033,8008
202309,A82035,14513
202309,A82036,11002
202309,A82037,4331
202309,A82038,4819
202309,A82039,8804
202309,A82041,14229
202309,A82044,23730
202309,A82045,8920
202309,A82046,4971
202309,A82047,32899
202309,A82053,7598
202309,A82055,6942
202309,A82062,5874
202309,A82064,5696
202309,A82068,4592
202309,A82070,6612
202309,A82071,4176
202309,A82072,7544
202309,A82075,7258
202309,A82077,150
202309,A82608,4613
202309,A82613,1070
202309,A82617,2725
202309,A82620,947
202309,A82629,2966
202309,A82631,3718
202309,A82646,3721
202309,A82647,3111
202309,A82650,2888
202309,A82651,4858
202309,A82654,7742
202309,A83001,15101
202309,A83003,9154
202309,A83005,12063
202309,A83006,8539
202309,A83007,9975
202309,A83008,5235
202309,A83009,7993
202309,A83010,13434
202309,A83011,31422
202309,A83012,15843
202309,A83013,13123
202309,A83014,6258
202309,A83015,9863
202309,A83016,10898
202309,A83018,17220
202309,A83020,13527
202309,A83021,15312
202309,A83022,26814
202309,A83023,12255
202309,A83024,5429
202309,A83025,13405
202309,A83026,10685
202309,A83027,7207
202309,A83028,9389
202309,A83029,5348
202309,A83030,14153
202309,A83031,11312
202309,A83032,2542
202309,A83033,9581
202309,A83034,10946
202309,A83035,7171
202309,A83036,10737
202309,A83037,13428
202309,A83038,5954
202309,A83040,11964
202309,A83041,7249
202309,A83043,2691
202309,A83044,8014
202309,A83045,14918
202309,A83046,10845
202309,A83047,14985
202309,A83048,6099
202309,A83049,15515
202309,A83050,12801
202309,A83051,11115
202309,A83052,8724
202309,A83054,16518
202309,A83055,4911
202309,A83057,18245
202309,A83060,2974
202309,A83061,3576
202309,A83066,11893
202309,A83070,5803
202309,A83071,4650
202309,A83072,4138
202309,A83073,5173
202309,A83074,12223
202309,A83075,8390
202309,A83610,3424
202309,A83616,8108
202309,A83617,2599
202309,A83618,7622
202309,A83619,3546
202309,A83622,1725
202309,A83626,2170
202309,A83627,6440
202309,A83634,2785
202309,A83635,4257
202309,A83636,6063
202309,A83637,4202
202309,A83641,4741
202309,A83644,3545
202309,A84002,6076
202309,A84005,12347
202309,A84006,18912
202309,A84007,10846
202309,A84008,4507
202309,A84009,27038
202309,A84011,8222
202309,A84013,6333
202309,A84014,13088
202309,A84016,6927
202309,A84018,7229
202309,A84020,7996
202309,A84022,11931
202309,A84024,10295
202309,A84025,5128
202309,A84026,8884
202309,A84027,3449
202309,A84028,19068
202309,A84029,4498
202309,A84030,10271
202309,A84031,10348
202309,A84033,5763
202309,A84034,5577
202309,A84035,5970
202309,A84036,51562
202309,A84037,5985
202309,A84038,7934
202309,A84039,6565
202309,A84040,3531
202309,A84042,2058
202309,A84044,7197
202309,A84045,5376
202309,A84047,5364
202309,A84604,4787
202309,A84614,2028
202309,A84619,4084
202309,A85001,7659
202309,A85002,3977
202309,A85004,10438
202309,A85005,17246
202309,A85006,9062
202309,A85007,8425
202309,A85008,15499
202309,A85009,6245
202309,A85010,11296
202309,A85011,7533
202309,A85012,2
202309,A85013,4101
202309,A85014,20411
202309,A85016,11781
202309,A85017,7499
202309,A85018,4769
202309,A85019,10576
202309,A85020,15687
202309,A85021,4549
202309,A85023,5597
202309,A85024,2488
202309,A85026,5449
202309,A85611,5538
202309,A85614,7315
202309,A85616,4628
202309,A85617,3749
202309,A86003,40905
202309,A86004,15364
202309,A86005,6012
202309,A86006,5715
202309,A86008,13213
202309,A86010,10316
202309,A86011,10909
202309,A86012,11167
202309,A86013,7190
202309,A86016,9715
202309,A86017,11055
202309,A86018,13117
202309,A86020,16103
202309,A86021,9841
202309,A86022,8501
