LSOA_Code,Health_Score,Health_Rank,Health_Decile
E01000001,-1.654,32113,10
E01000002,-1.115,29705,10
E01000003,-0.102,17600,6
E01000005,-0.121,17907,6
E01000006,-0.359,21581,7
E01000007,-0.027,16414,5
E01000008,0.25,12334,4
E01000009,0.454,9661,3
E01000010,-0.002,16050,5
E01000011,-0.137,18178,6
E01000012,-0.056,16887,6
E01000013,0.67,7172,3
E01000014,0.35,10972,4
E01000015,0.025,15626,5
E01000016,0.373,10676,4
E01000017,0.694,6950,3
E01000018,0.273,12006,4
E01000019,0.477,9374,3
E01000020,0.76,6282,2
E01000021,0.418,10085,4
E01000022,0.427,9980,4
E01000023,0.033,15505,5
E01000024,0.263,12148,4
E01000025,0.395,10405,4
E01000027,0.148,13752,5
E01000028,1.138,3254,1
E01000029,-0.28,20355,7
E01000030,0.016,15751,5
E01000031,0.046,15303,5
E01000032,0.095,14597,5
E01000033,0.278,11932,4
E01000034,0.661,7279,3
E01000035,0.397,10364,4
E01000036,-0.185,18923,6
E01000037,-0.504,23465,8
E01000038,-0.103,17616,6
E01000039,0.173,13416,5
E01000040,0.155,13665,5
E01000041,0.349,10992,4
E01000042,0.526,8795,3
E01000043,0.044,15334,5
E01000044,-0.41,22250,7
E01000045,0.279,11924,4
E01000046,0.222,12756,4
E01000048,0.495,9163,3
E01000049,0.409,10214,4
E01000050,0.61,7817,3
E01000051,0.391,10460,4
E01000052,-0.153,18434,6
E01000053,0.701,6865,3
E01000054,0.198,13087,4
E01000055,0.126,14090,5
E01000056,0.455,9652,3
E01000057,0.097,14559,5
E01000058,0.147,13772,5
E01000059,0.136,13932,5
E01000060,0.282,11879,4
E01000061,1.013,4136,2
E01000062,-0.143,18285,6
E01000063,0.286,11816,4
E01000064,0.39,10490,4
E01000065,0.817,5745,2
E01000066,0.054,15169,5
E01000067,-0.388,21963,7
E01000068,0.167,13509,5
E01000069,-0.626,25051,8
E01000070,-0.442,22662,7
E01000071,-0.261,20051,7
E01000072,0.478,9357,3
E01000073,0.57,8284,3
E01000074,0.461,9581,3
E01000075,0.136,13939,5
E01000076,0.097,14560,5
E01000077,0.725,6631,3
E01000078,0.035,15460,5
E01000079,0.045,15314,5
E01000080,0.445,9777,3
E01000081,0.225,12703,4
E01000082,-0.111,17747,6
E01000083,0.361,10842,4
E01000084,0.338,11120,4
E01000085,-0.227,19518,6
E01000086,0.89,5137,2
E01000087,0.046,15307,5
E01000088,0.264,12126,4
E01000089,-0.154,18445,6
E01000090,-0.187,18942,6
E01000091,0.324,11282,4
E01000092,-0.008,16131,5
E01000093,0.842,5519,2
E01000094,-0.036,16555,6
E01000095,-0.111,17759,6
E01000096,0.008,15882,5
E01000097,0.808,5831,2
E01000098,0.443,9792,3
E01000099,0.214,12858,4
E01000100,0.106,14418,5
E01000101,0.464,9545,3
E01000102,0.684,7036,3
E01000103,0.427,9979,4
E01000104,0.276,11958,4
E01000105,0.932,4774,2
E01000106,0.636,7543,3
E01000107,0.579,8175,3
E01000108,0.158,13637,5
E01000109,-0.199,19119,6
E01000110,-0.002,16046,5
E01000111,0.187,13246,5
E01000112,-0.324,21026,7
E01000113,-0.122,17933,6
E01000114,-0.117,17851,6
E01000115,-1.526,31772,10
E01000116,-1.412,31379,10
E01000117,-1.141,29887,10
E01000118,-1.679,32170,10
E01000119,-1.884,32503,10
E01000120,-1.58,31931,10
E01000121,0.261,12164,4
E01000122,-1.246,30581,10
E01000123,-1.062,29311,9
E01000124,-0.593,24615,8
E01000125,-0.615,24898,8
E01000126,-0.077,17202,6
E01000127,-0.495,23367,8
E01000128,-0.346,21389,7
E01000129,-0.148,18366,6
E01000130,-0.331,21139,7
E01000131,-0.802,27020,9
E01000132,-0.464,22939,7
E01000133,-0.059,16936,6
E01000134,-0.579,24429,8
E01000135,-1.087,29489,9
E01000136,-1.93,32547,10
E01000137,0.077,14846,5
E01000138,-0.547,24007,8
E01000139,-1.326,30993,10
E01000140,-0.914,28092,9
E01000141,-0.736,26316,9
E01000142,-0.676,25666,8
E01000143,-0.081,17289,6
E01000144,-0.906,28028,9
E01000145,-1.5,31703,10
E01000146,-1.542,31821,10
E01000147,-1.99,32596,10
E01000148,-0.042,16658,6
E01000150,-1.385,31284,10
E01000151,-0.203,19182,6
E01000152,-0.552,24090,8
E01000153,-0.047,16727,6
E01000154,0.007,15897,5
E01000155,-1.303,30874,10
E01000156,-0.991,28748,9
E01000157,-1.084,29471,9
E01000158,-0.598,24692,8
E01000159,-1.287,30795,10
E01000160,-1.028,29047,9
E01000161,-0.524,23738,8
E01000162,-0.479,23118,8
E01000163,0.036,15455,5
E01000164,-0.666,25537,8
E01000165,-1.29,30809,10
E01000166,-0.922,28162,9
E01000167,0.166,13541,5
E01000168,-1.486,31651,10
E01000169,-1.209,30347,10
E01000170,-0.625,25024,8
E01000171,-0.164,18595,6
E01000172,-1.613,32018,10
E01000173,-1.13,29803,10
E01000174,-0.672,25607,8
E01000175,-1.45,31540,10
E01000176,-0.459,22882,7
E01000177,-1.826,32421,10
E01000178,-1.31,30902,10
E01000179,-0.712,26043,8
E01000180,-1.044,29166,9
E01000181,-1.634,32071,10
E01000182,-1.738,32281,10
E01000183,-0.676,25664,8
E01000184,-0.186,18934,6
E01000185,-0.208,19242,6
E01000186,-1.988,32593,10
